id_tiempo,ANO_EJE,MES_EJE
1,2020,0
2,2020,1
3,2020,2
4,2020,3
5,2020,4
6,2020,5
7,2020,6
8,2020,7
9,2020,8
10,2020,9
11,2020,10
12,2020,11
13,2020,12
14,2021,0
15,2021,1
16,2021,2
17,2021,3
18,2021,4
19,2021,5
20,2021,6
21,2021,7
22,2021,8
23,2021,9
24,2021,10
25,2021,11
26,2021,12
27,2022,0
28,2022,1
29,2022,2
30,2022,3
31,2022,4
32,2022,5
33,2022,6
34,2022,7
35,2022,8
36,2022,9
37,2022,10
38,2022,11
39,2022,12
40,2023,0
41,2023,1
42,2023,2
43,2023,3
44,2023,4
45,2023,5
46,2023,6
47,2023,7
48,2023,8
49,2023,9
50,2023,10
51,2023,11
52,2023,12
53,2024,0
54,2024,1
55,2024,2
56,2024,3
57,2024,4
58,2024,5
59,2024,6
60,2024,7
61,2024,8
62,2024,9
63,2024,10
64,2024,11
65,2024,12
66,2025,0
67,2025,1
68,2025,2
69,2025,3
70,2025,4
71,2025,5
72,2025,6
73,2025,7
74,2025,8
75,2025,9
76,2025,10
77,2025,11
78,2025,12
79,2026,0
80,2026,1
81,2026,2
82,2026,3
83,2026,4
84,2026,5
